id,request_id,requested_by,date,item,quantity,status,created_at
1,PR-10001,Regina Roberts,2025-07-19,Affect,382,Approved,2023-02-03T22:32:50
2,PR-10002,David Jones,2023-10-30,Budget,165,Approved,2025-03-09T18:03:34
3,PR-10003,Troy Fernandez,2024-05-07,Only,452,Approved,2025-09-28T12:21:35
4,PR-10004,Taylor Clay,2025-10-26,Art,366,Pending,2023-12-28T05:21:08
5,PR-10005,James Wilson,2023-08-27,Worker,339,Cancelled,2023-03-04T14:03:31
6,PR-10006,April Wilkins,2024-04-24,Activity,456,Approved,2024-08-04T18:26:24
7,PR-10007,Justin Ashley,2024-07-09,Magazine,26,Cancelled,2025-03-02T20:12:35
8,PR-10008,Ms. Melissa Nolan,2023-12-05,Glass,480,Approved,2025-01-21T06:01:39
9,PR-10009,Nancy Snyder,2025-05-05,Support,362,Approved,2023-10-02T03:46:37
10,PR-10010,Darlene Bishop,2023-07-12,Space,309,Cancelled,2023-05-10T00:59:13
11,PR-10011,Melissa Castro,2025-09-10,Quality,41,Pending,2023-06-22T23:48:53
12,PR-10012,Shelley Vaughn,2024-03-11,Her,116,Cancelled,2023-09-29T23:02:41
13,PR-10013,Jennifer Garcia,2024-10-04,Score,80,Cancelled,2024-04-18T11:32:01
14,PR-10014,Denise Hart,2025-02-28,Organization,69,Pending,2024-12-01T06:50:13
15,PR-10015,Kevin Walls,2025-08-04,Onto,448,Approved,2023-04-22T10:45:39
16,PR-10016,Devin Pearson,2023-12-17,Late,297,Approved,2024-12-21T04:03:23
17,PR-10017,Wanda Hart,2024-09-09,Finally,384,Approved,2025-09-29T20:37:39
18,PR-10018,Brady Robinson,2024-12-25,Congress,320,Pending,2023-01-01T10:48:24
19,PR-10019,Steven Smith,2024-10-12,Allow,280,Pending,2023-05-30T22:41:09
20,PR-10020,Robert Ali,2024-09-30,Model,396,Approved,2024-09-14T18:18:05
21,PR-10021,Jessica Carpenter,2024-02-09,Or,288,Pending,2023-06-12T02:24:50
22,PR-10022,Gregory Mclaughlin,2025-05-18,Person,45,Pending,2025-02-05T08:51:03
23,PR-10023,Robert Gibson,2024-06-18,Concern,281,Pending,2024-05-27T02:10:56
24,PR-10024,Amber Price,2025-08-22,Or,353,Pending,2023-08-26T21:35:17
25,PR-10025,Ashley Lowe,2024-01-30,Type,366,Cancelled,2025-02-21T04:15:55
26,PR-10026,Shannon Osborn,2025-05-06,Fight,112,Pending,2022-12-23T15:34:45
27,PR-10027,Joseph Meyer,2024-10-11,Yourself,288,Pending,2023-12-16T05:08:07
28,PR-10028,Natasha Marquez,2024-10-22,Partner,426,Pending,2025-06-30T00:23:13
29,PR-10029,Brittany Garcia,2025-01-19,That,470,Approved,2023-01-29T10:37:52
30,PR-10030,Katherine Hill,2025-02-26,Movement,384,Approved,2023-03-03T10:30:38
31,PR-10031,Carmen Newman,2025-07-11,Pull,383,Pending,2024-05-14T21:12:01
32,PR-10032,Whitney Davies,2023-09-11,Forget,484,Cancelled,2023-02-25T21:44:09
33,PR-10033,Brian Long,2023-10-12,Wish,208,Pending,2023-02-21T16:50:33
34,PR-10034,Lee Parker,2025-06-01,Structure,154,Cancelled,2025-08-05T18:29:46
35,PR-10035,Joanna Patel,2023-12-12,Technology,483,Pending,2025-10-07T14:56:46
36,PR-10036,Joseph Baker,2025-08-16,Stock,146,Approved,2024-11-28T19:05:51
37,PR-10037,Bethany Knight,2025-09-12,Strategy,345,Approved,2023-07-23T12:17:12
38,PR-10038,Ronnie Huynh,2024-07-12,Three,40,Cancelled,2025-08-14T12:56:25
39,PR-10039,Stephen Beck,2025-02-10,Learn,148,Approved,2022-11-08T15:41:03
40,PR-10040,Margaret Willis,2024-08-30,Foot,456,Approved,2022-11-14T12:36:36
41,PR-10041,Mark Ritter,2022-11-11,Trouble,45,Cancelled,2022-12-18T17:06:39
42,PR-10042,Monique Harris,2025-02-11,Thing,369,Approved,2023-11-04T00:59:55
43,PR-10043,Cynthia Garcia,2024-04-30,Player,275,Pending,2025-01-10T18:02:28
44,PR-10044,Paul Dyer,2025-07-25,Worker,259,Pending,2024-02-06T13:02:46
45,PR-10045,Victor Nguyen,2023-06-16,Production,331,Pending,2022-11-30T22:07:38
46,PR-10046,Mr. Craig Stephens,2025-09-30,Week,6,Approved,2024-09-14T10:53:42
