id,username,email,password_hash,full_name,group_id,group_name,role,is_active,last_login,created_at,updated_at
1,admin,admin@example.com,scrypt:32768:8:1$l9rKuSbUSPbuJp6j$549b6fa6323456d4efaa982f8ca51c711014ce97ac6712c6af1fe4f71a00a587f0bff6c5e77850556ac3d4612464dbdd50d0e1e7fa3f2407f0ffdbe5c12301fb,Christina Curtis,8,managers,admin,True,2025-01-21T12:51:28,2024-03-31T23:06:41,2023-11-16T17:27:03
2,user2,elizabeth08@example.net,scrypt:32768:8:1$tpK7hRYreJHkgs2f$6dfd8796c0c6f1a5a76bd64b73496fe6b73787ebc57af1bfeedd8be1acd7774e7a1bfc273ccd6125309e303d988a9ed67347a760973288fb064973a2afce8401,Scott Jackson,8,finance,manager,True,2025-03-02T14:46:02,2022-01-03T20:57:22,2024-03-19T09:37:37
3,user3,shepherdstacey@example.org,scrypt:32768:8:1$YnEyDDHwHNVuRoll$a56f0e7509933bc378b2e4a653d7137474559c1d3426425bc2d57a44b320ce68f40f485716d92c3bcd3be1e89120078baaf1a22881fefebd816fc091994958e5,Anna Hill,4,staff,manager,True,2025-09-24T11:00:17,2022-03-30T07:28:02,2025-01-17T11:24:34
4,user4,jeremylee@example.com,scrypt:32768:8:1$q320jVH6arpKr8s6$9a1bee3e3f1e2e3d4ec386cff73889c29164dc65c94dd6ab5c264133c05848dbaf5ea6be07b138488dcd9d6af445eb3954d2f4526f5a92350ef21a0134218414,Christopher Tucker,5,managers,user,True,2025-02-11T17:38:08,2023-08-18T18:00:15,2025-03-10T18:32:52
5,user5,hkline@example.net,scrypt:32768:8:1$JyndtfkNK4CcP6jP$0d4478064cb5a537ff68a925a680af42daa39138c9424a2dac0ae27c2d60564503a4993710377fd0c15a72812e54ee4290f8d95c1db7429381de8e4f0e4307df,Sarah Anderson,10,finance,manager,True,2025-07-19T01:09:36,2022-01-29T12:57:03,2025-05-31T07:22:29
6,user6,hillrichard@example.com,scrypt:32768:8:1$hyxEdBrdzzujYY0F$7e1daf731e6fcf1cbd8f441cf04d2d67ba849375575c660959bca1f79f7d9d173fbb856257634a706c302f5ef3bc04496a440786dc0cfa2d40a8f48445dc966c,Allison Ball,7,finance,user,False,2024-11-21T03:51:38,2024-07-15T01:24:51,2025-07-07T04:15:55
7,user7,amber02@example.net,scrypt:32768:8:1$fYpiRtkQum9w4MrN$b35ebe00f65dceca268828ddd17901e79998dd246c790bcb391d72c8a5245f72ec6b48f0df09ae5d1a3eff9c7bf0278ed44e04b0a67017a632292941616ade12,Brian French,2,admin,admin,True,2025-06-28T09:46:07,2025-10-03T10:26:41,2025-07-14T06:39:50
8,user8,brenda38@example.com,scrypt:32768:8:1$vOlnO8YK8NJZllg5$dcdc4cca04d9447e095898c57b2e91f19567695a48a92c819b447e1601aa68fdc5eda5aa8b259d68f3a2d0476dba0f83c81c91ae25d594c18980c86e8ce17612,Lori Campos,2,staff,user,True,2025-01-17T18:49:33,2023-11-10T19:41:46,2024-10-18T00:22:18
9,user9,iyoung@example.org,scrypt:32768:8:1$0YAvX66tvhtVbD4f$88a1eacc3acd25f7c2ded4b5d397ca8c1331265a399368ea9b9346eb0c1ca2402221f0baa7d72be16a19064299db64a0696155b9a6ca4bcbf3ecd06c48571235,Robert Kelley,8,admin,admin,True,2025-08-24T22:33:58,2021-07-11T19:59:41,2024-02-27T21:04:21
10,user10,ideleon@example.net,scrypt:32768:8:1$nHCSBMEhqs6TxxVJ$a003bec3be2bd1194a6e122b3e1f09dadb9d82fddb7500e99834cca6c9029b06521dab2127a4efbc7735c2e48669ccbaf7302fb490522eac9e897197fc483909,Teresa Johnson,3,finance,manager,True,2025-07-21T05:08:33,2021-01-13T19:15:12,2024-04-18T09:34:21
11,user11,edwardswhitney@example.org,scrypt:32768:8:1$QdTzpHoaHyNreOBg$50c831c5d02ce1c80bb8a84ae95b192e2f2226a4419f9291d0d6eb47eb74fabd426320cbf950825604463a74d5dab1844d71ca1d3434e8e06268596b963d4e5a,Heather Carlson,6,staff,user,False,2025-01-08T06:30:25,2025-07-29T16:58:02,2025-06-28T08:58:31
12,user12,rosejessica@example.org,scrypt:32768:8:1$cutZ1YFOPoewJ0xz$eb1739cab43e683fe0c4684613e36847bc64ab28f8f5cccf6f690bf08e22701d76c7652cc136a73e25d3f8ea89e9d2140c41a6a263c92e94ac33b7b5de2c7dfe,Yolanda Robles,2,staff,admin,True,2025-08-27T02:19:16,2022-01-07T18:58:52,2025-10-11T22:46:29
13,user13,johnsonalyssa@example.org,scrypt:32768:8:1$67odLXkc0CufHJ1T$88438089b17543201b1464d45d4d0b99de4ee09009ab24d6fb6d90cec47fc9edd93f0543342a4a69afbf42183de117ecbf08a36c822e03be39e6828364d6c51f,Mackenzie Brown,9,admin,admin,False,2025-05-06T13:02:49,2023-01-19T12:01:30,2025-07-07T07:19:27
14,user14,simmonsbrittany@example.org,scrypt:32768:8:1$9bUD8OsBLcbhdXE4$43ba17210ecda407a546af836987b6ab89f27682a2d1df5f300c85a482a026eb36e52e663805fc342b70bc5a7c38199e08ef97ce652babdc96abe2152aecde34,Crystal Brown,8,managers,user,True,2025-05-11T14:53:42,2025-09-25T09:15:49,2024-07-03T23:45:48
